timestamp,pod,cpu_millicores,memory_mib
1777557786,dagster-thesis-daemon-6d4965785d-4q6wb,27,181
1777557786,dagster-thesis-postgresql-0,53,50
1777557786,dagster-thesis-webserver-749fbb6577-fvvnw,16,157
1777557786,dagster-thesis-workload-7b66f56b79-wkb4p,102,135
1777557790,dagster-thesis-daemon-6d4965785d-4q6wb,27,181
1777557790,dagster-thesis-postgresql-0,53,50
1777557790,dagster-thesis-webserver-749fbb6577-fvvnw,16,157
1777557790,dagster-thesis-workload-7b66f56b79-wkb4p,102,135
1777557793,dagster-thesis-daemon-6d4965785d-4q6wb,27,181
1777557793,dagster-thesis-postgresql-0,53,50
1777557793,dagster-thesis-webserver-749fbb6577-fvvnw,16,157
1777557793,dagster-thesis-workload-7b66f56b79-wkb4p,102,135
1777557796,dagster-thesis-daemon-6d4965785d-4q6wb,42,181
1777557796,dagster-thesis-postgresql-0,53,50
1777557796,dagster-thesis-webserver-749fbb6577-fvvnw,18,157
1777557796,dagster-thesis-workload-7b66f56b79-wkb4p,129,135
1777557800,dagster-thesis-daemon-6d4965785d-4q6wb,42,181
1777557800,dagster-thesis-postgresql-0,53,50
1777557800,dagster-thesis-webserver-749fbb6577-fvvnw,18,157
1777557800,dagster-thesis-workload-7b66f56b79-wkb4p,129,135
1777557804,dagster-thesis-daemon-6d4965785d-4q6wb,42,181
1777557804,dagster-thesis-postgresql-0,53,50
1777557804,dagster-thesis-webserver-749fbb6577-fvvnw,18,157
1777557804,dagster-thesis-workload-7b66f56b79-wkb4p,129,135
1777557808,dagster-thesis-daemon-6d4965785d-4q6wb,42,181
1777557808,dagster-thesis-postgresql-0,53,50
1777557808,dagster-thesis-webserver-749fbb6577-fvvnw,18,157
1777557808,dagster-thesis-workload-7b66f56b79-wkb4p,129,135
1777557812,dagster-run-4dd15587-8c63-4661-bcf8-3921942e480f-zkhxv,881,119
1777557812,dagster-run-6d6c1069-6631-4650-96fa-866ecaae9353-pjrzs,915,105
1777557812,dagster-thesis-daemon-6d4965785d-4q6wb,64,181
1777557812,dagster-thesis-postgresql-0,81,53
1777557812,dagster-thesis-webserver-749fbb6577-fvvnw,36,157
1777557812,dagster-thesis-workload-7b66f56b79-wkb4p,124,135
1777557817,dagster-run-4dd15587-8c63-4661-bcf8-3921942e480f-zkhxv,881,119
1777557817,dagster-run-6d6c1069-6631-4650-96fa-866ecaae9353-pjrzs,915,105
1777557817,dagster-thesis-daemon-6d4965785d-4q6wb,64,181
1777557817,dagster-thesis-postgresql-0,81,53
1777557817,dagster-thesis-webserver-749fbb6577-fvvnw,36,157
1777557817,dagster-thesis-workload-7b66f56b79-wkb4p,124,135
1777557821,dagster-run-4dd15587-8c63-4661-bcf8-3921942e480f-zkhxv,881,119
1777557821,dagster-run-6d6c1069-6631-4650-96fa-866ecaae9353-pjrzs,915,105
1777557821,dagster-thesis-daemon-6d4965785d-4q6wb,64,181
1777557821,dagster-thesis-postgresql-0,81,53
1777557821,dagster-thesis-webserver-749fbb6577-fvvnw,36,157
1777557821,dagster-thesis-workload-7b66f56b79-wkb4p,124,135
1777557825,dagster-run-4c6a2ebf-f358-4cc5-80b8-86ee771aa7c7-mjtfb,925,118
1777557825,dagster-run-4dd15587-8c63-4661-bcf8-3921942e480f-zkhxv,939,211
1777557825,dagster-run-50a9f5b4-1091-4068-afef-2b1eb51368f9-8wgks,902,213
1777557825,dagster-run-6d6c1069-6631-4650-96fa-866ecaae9353-pjrzs,879,235
1777557825,dagster-run-bec88418-b58e-4a53-8325-8d6ff8110b9d-f68ql,932,107
1777557825,dagster-thesis-daemon-6d4965785d-4q6wb,86,181
1777557825,dagster-thesis-postgresql-0,269,52
1777557825,dagster-thesis-webserver-749fbb6577-fvvnw,33,157
1777557825,dagster-thesis-workload-7b66f56b79-wkb4p,281,135
1777557830,dagster-run-4c6a2ebf-f358-4cc5-80b8-86ee771aa7c7-mjtfb,925,118
1777557830,dagster-run-4dd15587-8c63-4661-bcf8-3921942e480f-zkhxv,939,211
1777557830,dagster-run-50a9f5b4-1091-4068-afef-2b1eb51368f9-8wgks,902,213
1777557830,dagster-run-6d6c1069-6631-4650-96fa-866ecaae9353-pjrzs,879,235
1777557830,dagster-run-bec88418-b58e-4a53-8325-8d6ff8110b9d-f68ql,932,107
1777557830,dagster-thesis-daemon-6d4965785d-4q6wb,86,181
1777557830,dagster-thesis-postgresql-0,269,52
1777557830,dagster-thesis-webserver-749fbb6577-fvvnw,33,157
1777557830,dagster-thesis-workload-7b66f56b79-wkb4p,281,135
1777557835,dagster-run-4c6a2ebf-f358-4cc5-80b8-86ee771aa7c7-mjtfb,925,118
1777557835,dagster-run-4dd15587-8c63-4661-bcf8-3921942e480f-zkhxv,939,211
1777557835,dagster-run-50a9f5b4-1091-4068-afef-2b1eb51368f9-8wgks,902,213
1777557835,dagster-run-6d6c1069-6631-4650-96fa-866ecaae9353-pjrzs,879,235
1777557835,dagster-run-bec88418-b58e-4a53-8325-8d6ff8110b9d-f68ql,932,107
1777557835,dagster-thesis-daemon-6d4965785d-4q6wb,86,181
1777557835,dagster-thesis-postgresql-0,269,52
1777557835,dagster-thesis-webserver-749fbb6577-fvvnw,33,157
1777557835,dagster-thesis-workload-7b66f56b79-wkb4p,281,135
1777557840,dagster-run-4c6a2ebf-f358-4cc5-80b8-86ee771aa7c7-mjtfb,925,118
1777557840,dagster-run-4dd15587-8c63-4661-bcf8-3921942e480f-zkhxv,939,211
1777557840,dagster-run-50a9f5b4-1091-4068-afef-2b1eb51368f9-8wgks,902,213
1777557840,dagster-run-6d6c1069-6631-4650-96fa-866ecaae9353-pjrzs,879,235
1777557840,dagster-run-bec88418-b58e-4a53-8325-8d6ff8110b9d-f68ql,932,107
1777557840,dagster-thesis-daemon-6d4965785d-4q6wb,86,181
1777557840,dagster-thesis-postgresql-0,269,52
1777557840,dagster-thesis-webserver-749fbb6577-fvvnw,33,157
1777557840,dagster-thesis-workload-7b66f56b79-wkb4p,281,135
1777557845,dagster-run-4c6a2ebf-f358-4cc5-80b8-86ee771aa7c7-mjtfb,849,235
1777557845,dagster-run-4dd15587-8c63-4661-bcf8-3921942e480f-zkhxv,930,235
1777557845,dagster-run-50a9f5b4-1091-4068-afef-2b1eb51368f9-8wgks,512,232
1777557845,dagster-run-6d6c1069-6631-4650-96fa-866ecaae9353-pjrzs,879,235
1777557845,dagster-run-bec88418-b58e-4a53-8325-8d6ff8110b9d-f68ql,905,235
1777557845,dagster-thesis-daemon-6d4965785d-4q6wb,42,181
1777557845,dagster-thesis-postgresql-0,235,50
1777557845,dagster-thesis-webserver-749fbb6577-fvvnw,27,157
1777557845,dagster-thesis-workload-7b66f56b79-wkb4p,179,135
1777557850,dagster-run-4c6a2ebf-f358-4cc5-80b8-86ee771aa7c7-mjtfb,849,235
1777557850,dagster-run-4dd15587-8c63-4661-bcf8-3921942e480f-zkhxv,930,235
1777557850,dagster-run-50a9f5b4-1091-4068-afef-2b1eb51368f9-8wgks,512,232
1777557850,dagster-run-6d6c1069-6631-4650-96fa-866ecaae9353-pjrzs,879,235
1777557850,dagster-run-bec88418-b58e-4a53-8325-8d6ff8110b9d-f68ql,905,235
1777557850,dagster-thesis-daemon-6d4965785d-4q6wb,42,181
1777557850,dagster-thesis-postgresql-0,235,50
1777557850,dagster-thesis-webserver-749fbb6577-fvvnw,27,157
1777557850,dagster-thesis-workload-7b66f56b79-wkb4p,179,135
1777557855,dagster-run-4c6a2ebf-f358-4cc5-80b8-86ee771aa7c7-mjtfb,849,235
1777557855,dagster-run-4dd15587-8c63-4661-bcf8-3921942e480f-zkhxv,930,235
1777557855,dagster-run-50a9f5b4-1091-4068-afef-2b1eb51368f9-8wgks,512,232
1777557855,dagster-run-6d6c1069-6631-4650-96fa-866ecaae9353-pjrzs,879,235
1777557855,dagster-run-bec88418-b58e-4a53-8325-8d6ff8110b9d-f68ql,905,235
1777557855,dagster-thesis-daemon-6d4965785d-4q6wb,42,181
1777557855,dagster-thesis-postgresql-0,235,50
1777557855,dagster-thesis-webserver-749fbb6577-fvvnw,27,157
1777557855,dagster-thesis-workload-7b66f56b79-wkb4p,179,135
1777557860,dagster-run-4c6a2ebf-f358-4cc5-80b8-86ee771aa7c7-mjtfb,999,235
