timestamp,pod,cpu_millicores,memory_mib
1777284741,dagster-thesis-daemon-5899b9b5d-57hqv,18,191
1777284741,dagster-thesis-postgresql-0,16,57
1777284741,dagster-thesis-webserver-64848cbff5-swthz,7,141
1777284741,dagster-thesis-workload-68d48d9786-58tqg,67,121
1777284743,dagster-thesis-daemon-5899b9b5d-57hqv,18,191
1777284743,dagster-thesis-postgresql-0,16,57
1777284743,dagster-thesis-webserver-64848cbff5-swthz,7,141
1777284743,dagster-thesis-workload-68d48d9786-58tqg,67,121
1777284746,dagster-thesis-daemon-5899b9b5d-57hqv,18,191
1777284746,dagster-thesis-postgresql-0,16,57
1777284746,dagster-thesis-webserver-64848cbff5-swthz,7,141
1777284746,dagster-thesis-workload-68d48d9786-58tqg,67,121
1777284748,dagster-thesis-daemon-5899b9b5d-57hqv,18,191
1777284748,dagster-thesis-postgresql-0,16,57
1777284748,dagster-thesis-webserver-64848cbff5-swthz,7,141
1777284748,dagster-thesis-workload-68d48d9786-58tqg,67,121
1777284750,dagster-thesis-daemon-5899b9b5d-57hqv,28,191
1777284750,dagster-thesis-postgresql-0,59,56
1777284750,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284750,dagster-thesis-workload-68d48d9786-58tqg,61,121
1777284752,dagster-thesis-daemon-5899b9b5d-57hqv,28,191
1777284752,dagster-thesis-postgresql-0,59,56
1777284752,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284752,dagster-thesis-workload-68d48d9786-58tqg,61,121
1777284754,dagster-thesis-daemon-5899b9b5d-57hqv,28,191
1777284754,dagster-thesis-postgresql-0,59,56
1777284754,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284754,dagster-thesis-workload-68d48d9786-58tqg,61,121
1777284757,dagster-thesis-daemon-5899b9b5d-57hqv,28,191
1777284757,dagster-thesis-postgresql-0,59,56
1777284757,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284757,dagster-thesis-workload-68d48d9786-58tqg,61,121
1777284759,dagster-thesis-daemon-5899b9b5d-57hqv,28,191
1777284759,dagster-thesis-postgresql-0,59,56
1777284759,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284759,dagster-thesis-workload-68d48d9786-58tqg,61,121
1777284761,dagster-thesis-daemon-5899b9b5d-57hqv,28,191
1777284761,dagster-thesis-postgresql-0,59,56
1777284761,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284761,dagster-thesis-workload-68d48d9786-58tqg,61,121
1777284764,dagster-thesis-daemon-5899b9b5d-57hqv,28,191
1777284764,dagster-thesis-postgresql-0,59,56
1777284764,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284764,dagster-thesis-workload-68d48d9786-58tqg,61,121
1777284766,dagster-run-00be22c8-9c20-48a1-baae-a042f557c7a6-pcbxk,466,230
1777284766,dagster-run-4fd64e01-ecaa-4b56-8c15-766172e8b215-8cxgp,523,230
1777284766,dagster-run-88cbe1bb-b5b0-4901-b98f-ceade3c04932-p5lzr,504,230
1777284766,dagster-run-c4e9f9ba-8de1-43ad-a1e9-154e98e9d010-g5w5t,482,230
1777284766,dagster-run-c92fd93b-b9c1-4dd2-8188-4530981a3aa3-n9f6f,551,230
1777284766,dagster-run-df20c505-1618-48de-83f1-ea8c51871436-v9ssm,454,230
1777284766,dagster-run-f8ead9b3-7408-4f7e-a237-b548a569e3e7-nf9kz,443,230
1777284766,dagster-thesis-daemon-5899b9b5d-57hqv,33,191
1777284766,dagster-thesis-postgresql-0,59,56
1777284766,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284766,dagster-thesis-workload-68d48d9786-58tqg,116,182
1777284768,dagster-run-00be22c8-9c20-48a1-baae-a042f557c7a6-pcbxk,466,230
1777284768,dagster-run-4fd64e01-ecaa-4b56-8c15-766172e8b215-8cxgp,523,230
1777284768,dagster-run-88cbe1bb-b5b0-4901-b98f-ceade3c04932-p5lzr,504,230
1777284768,dagster-run-c4e9f9ba-8de1-43ad-a1e9-154e98e9d010-g5w5t,482,230
1777284768,dagster-run-c92fd93b-b9c1-4dd2-8188-4530981a3aa3-n9f6f,551,230
1777284768,dagster-run-df20c505-1618-48de-83f1-ea8c51871436-v9ssm,454,230
1777284768,dagster-run-f8ead9b3-7408-4f7e-a237-b548a569e3e7-nf9kz,443,230
1777284768,dagster-thesis-daemon-5899b9b5d-57hqv,33,191
1777284768,dagster-thesis-postgresql-0,59,56
1777284768,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284768,dagster-thesis-workload-68d48d9786-58tqg,116,182
1777284771,dagster-run-00be22c8-9c20-48a1-baae-a042f557c7a6-pcbxk,466,230
1777284771,dagster-run-4fd64e01-ecaa-4b56-8c15-766172e8b215-8cxgp,523,230
1777284771,dagster-run-88cbe1bb-b5b0-4901-b98f-ceade3c04932-p5lzr,504,230
1777284771,dagster-run-c4e9f9ba-8de1-43ad-a1e9-154e98e9d010-g5w5t,482,230
1777284771,dagster-run-c92fd93b-b9c1-4dd2-8188-4530981a3aa3-n9f6f,551,230
1777284771,dagster-run-df20c505-1618-48de-83f1-ea8c51871436-v9ssm,454,230
1777284771,dagster-run-f8ead9b3-7408-4f7e-a237-b548a569e3e7-nf9kz,443,230
1777284771,dagster-thesis-daemon-5899b9b5d-57hqv,33,191
1777284771,dagster-thesis-postgresql-0,59,56
1777284771,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284771,dagster-thesis-workload-68d48d9786-58tqg,116,182
1777284773,dagster-run-00be22c8-9c20-48a1-baae-a042f557c7a6-pcbxk,466,230
1777284773,dagster-run-4fd64e01-ecaa-4b56-8c15-766172e8b215-8cxgp,523,230
1777284773,dagster-run-88cbe1bb-b5b0-4901-b98f-ceade3c04932-p5lzr,504,230
1777284773,dagster-run-c4e9f9ba-8de1-43ad-a1e9-154e98e9d010-g5w5t,482,230
1777284773,dagster-run-c92fd93b-b9c1-4dd2-8188-4530981a3aa3-n9f6f,551,230
1777284773,dagster-run-df20c505-1618-48de-83f1-ea8c51871436-v9ssm,454,230
1777284773,dagster-run-f8ead9b3-7408-4f7e-a237-b548a569e3e7-nf9kz,443,230
1777284773,dagster-thesis-daemon-5899b9b5d-57hqv,33,191
1777284773,dagster-thesis-postgresql-0,59,56
1777284773,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284773,dagster-thesis-workload-68d48d9786-58tqg,116,182
1777284775,dagster-run-00be22c8-9c20-48a1-baae-a042f557c7a6-pcbxk,466,230
1777284775,dagster-run-4fd64e01-ecaa-4b56-8c15-766172e8b215-8cxgp,523,230
1777284775,dagster-run-88cbe1bb-b5b0-4901-b98f-ceade3c04932-p5lzr,504,230
1777284775,dagster-run-c4e9f9ba-8de1-43ad-a1e9-154e98e9d010-g5w5t,482,230
1777284775,dagster-run-c92fd93b-b9c1-4dd2-8188-4530981a3aa3-n9f6f,551,230
1777284775,dagster-run-df20c505-1618-48de-83f1-ea8c51871436-v9ssm,454,230
1777284775,dagster-run-f8ead9b3-7408-4f7e-a237-b548a569e3e7-nf9kz,443,230
1777284775,dagster-thesis-daemon-5899b9b5d-57hqv,33,191
1777284775,dagster-thesis-postgresql-0,59,56
1777284775,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284775,dagster-thesis-workload-68d48d9786-58tqg,116,182
1777284778,dagster-run-00be22c8-9c20-48a1-baae-a042f557c7a6-pcbxk,466,230
1777284778,dagster-run-4fd64e01-ecaa-4b56-8c15-766172e8b215-8cxgp,523,230
1777284778,dagster-run-88cbe1bb-b5b0-4901-b98f-ceade3c04932-p5lzr,504,230
1777284778,dagster-run-c4e9f9ba-8de1-43ad-a1e9-154e98e9d010-g5w5t,482,230
1777284778,dagster-run-c92fd93b-b9c1-4dd2-8188-4530981a3aa3-n9f6f,551,230
1777284778,dagster-run-df20c505-1618-48de-83f1-ea8c51871436-v9ssm,454,230
1777284778,dagster-run-f8ead9b3-7408-4f7e-a237-b548a569e3e7-nf9kz,443,230
1777284778,dagster-thesis-daemon-5899b9b5d-57hqv,33,191
1777284778,dagster-thesis-postgresql-0,59,56
1777284778,dagster-thesis-webserver-64848cbff5-swthz,16,141
1777284778,dagster-thesis-workload-68d48d9786-58tqg,116,182
1777284780,dagster-run-00be22c8-9c20-48a1-baae-a042f557c7a6-pcbxk,535,230
1777284780,dagster-run-4fd64e01-ecaa-4b56-8c15-766172e8b215-8cxgp,523,230
1777284780,dagster-run-88cbe1bb-b5b0-4901-b98f-ceade3c04932-p5lzr,504,230
1777284780,dagster-run-c4e9f9ba-8de1-43ad-a1e9-154e98e9d010-g5w5t,508,230
1777284780,dagster-run-c92fd93b-b9c1-4dd2-8188-4530981a3aa3-n9f6f,531,230
1777284780,dagster-run-df20c505-1618-48de-83f1-ea8c51871436-v9ssm,542,230
1777284780,dagster-run-f8ead9b3-7408-4f7e-a237-b548a569e3e7-nf9kz,443,230
1777284780,dagster-thesis-daemon-5899b9b5d-57hqv,10,191
1777284780,dagster-thesis-postgresql-0,109,57
1777284780,dagster-thesis-webserver-64848cbff5-swthz,4,141
1777284780,dagster-thesis-workload-68d48d9786-58tqg,44,121
1777284782,dagster-run-00be22c8-9c20-48a1-baae-a042f557c7a6-pcbxk,535,230
1777284782,dagster-run-4fd64e01-ecaa-4b56-8c15-766172e8b215-8cxgp,523,230
1777284782,dagster-run-88cbe1bb-b5b0-4901-b98f-ceade3c04932-p5lzr,504,230
1777284782,dagster-run-c4e9f9ba-8de1-43ad-a1e9-154e98e9d010-g5w5t,508,230
1777284782,dagster-run-c92fd93b-b9c1-4dd2-8188-4530981a3aa3-n9f6f,531,230
1777284782,dagster-run-df20c505-1618-48de-83f1-ea8c51871436-v9ssm,542,230
1777284782,dagster-run-f8ead9b3-7408-4f7e-a237-b548a569e3e7-nf9kz,443,230
1777284782,dagster-thesis-daemon-5899b9b5d-57hqv,10,191
1777284782,dagster-thesis-postgresql-0,109,57
1777284782,dagster-thesis-webserver-64848cbff5-swthz,4,141
1777284782,dagster-thesis-workload-68d48d9786-58tqg,44,121
1777284785,dagster-run-00be22c8-9c20-48a1-baae-a042f557c7a6-pcbxk,535,230
1777284785,dagster-run-4fd64e01-ecaa-4b56-8c15-766172e8b215-8cxgp,523,230
