timestamp,pod,cpu_millicores,memory_mib
1777283033,dagster-thesis-daemon-5899b9b5d-57hqv,20,191
1777283033,dagster-thesis-postgresql-0,15,47
1777283033,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283033,dagster-thesis-workload-68d48d9786-58tqg,99,119
1777283035,dagster-thesis-daemon-5899b9b5d-57hqv,20,191
1777283035,dagster-thesis-postgresql-0,15,47
1777283035,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283035,dagster-thesis-workload-68d48d9786-58tqg,99,119
1777283037,dagster-thesis-daemon-5899b9b5d-57hqv,20,191
1777283037,dagster-thesis-postgresql-0,15,47
1777283037,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283037,dagster-thesis-workload-68d48d9786-58tqg,99,119
1777283039,dagster-thesis-daemon-5899b9b5d-57hqv,20,191
1777283039,dagster-thesis-postgresql-0,15,48
1777283039,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283039,dagster-thesis-workload-68d48d9786-58tqg,56,118
1777283042,dagster-thesis-daemon-5899b9b5d-57hqv,20,191
1777283042,dagster-thesis-postgresql-0,15,48
1777283042,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283042,dagster-thesis-workload-68d48d9786-58tqg,56,118
1777283044,dagster-thesis-daemon-5899b9b5d-57hqv,20,191
1777283044,dagster-thesis-postgresql-0,15,48
1777283044,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283044,dagster-thesis-workload-68d48d9786-58tqg,56,118
1777283046,dagster-thesis-daemon-5899b9b5d-57hqv,20,191
1777283046,dagster-thesis-postgresql-0,15,48
1777283046,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283046,dagster-thesis-workload-68d48d9786-58tqg,56,118
1777283048,dagster-thesis-daemon-5899b9b5d-57hqv,20,191
1777283048,dagster-thesis-postgresql-0,15,48
1777283048,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283048,dagster-thesis-workload-68d48d9786-58tqg,56,118
1777283050,dagster-thesis-daemon-5899b9b5d-57hqv,20,191
1777283050,dagster-thesis-postgresql-0,15,48
1777283050,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283050,dagster-thesis-workload-68d48d9786-58tqg,56,118
1777283052,dagster-thesis-daemon-5899b9b5d-57hqv,20,191
1777283052,dagster-thesis-postgresql-0,15,48
1777283052,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283052,dagster-thesis-workload-68d48d9786-58tqg,56,118
1777283055,dagster-run-090e7ad4-4c6a-446f-aab1-37f4bbd27777-r5jjd,980,230
1777283055,dagster-run-7d54ca81-c72b-48e3-8fae-bbea44188d58-wmr7l,974,230
1777283055,dagster-thesis-daemon-5899b9b5d-57hqv,20,190
1777283055,dagster-thesis-postgresql-0,52,48
1777283055,dagster-thesis-webserver-64848cbff5-swthz,13,143
1777283055,dagster-thesis-workload-68d48d9786-58tqg,84,119
1777283057,dagster-run-090e7ad4-4c6a-446f-aab1-37f4bbd27777-r5jjd,980,230
1777283057,dagster-run-7d54ca81-c72b-48e3-8fae-bbea44188d58-wmr7l,974,230
1777283057,dagster-thesis-daemon-5899b9b5d-57hqv,20,190
