run_id,pod_name,submitted_ts,scheduled_ts,running_ts,job_start_ts
0036bc61-4ac3-46ad-9e7b-c87aa0c879ca,dagster-run-0036bc61-4ac3-46ad-9e7b-c87aa0c879ca-f9qlm,2026-04-30T13:51:51+00:00,2026-04-30T13:51:51+00:00,2026-04-30T13:51:51+00:00,2026-04-30T13:53:20+00:00
01611c92-33c3-4101-86c6-6914cb026f87,dagster-run-01611c92-33c3-4101-86c6-6914cb026f87-8plr6,2026-04-30T14:23:20+00:00,2026-04-30T14:23:20+00:00,2026-04-30T14:23:20+00:00,2026-04-30T14:25:15+00:00
0429ad59-e2a7-4f91-9b56-df4626bd3ea7,dagster-run-0429ad59-e2a7-4f91-9b56-df4626bd3ea7-q6crg,2026-04-30T14:27:29+00:00,2026-04-30T14:27:29+00:00,2026-04-30T14:27:29+00:00,2026-04-30T14:29:40+00:00
049f0144-b651-4e56-b0f5-1fd7450935fb,dagster-run-049f0144-b651-4e56-b0f5-1fd7450935fb-k22kc,2026-04-30T14:31:23+00:00,2026-04-30T14:31:23+00:00,2026-04-30T14:31:23+00:00,2026-04-30T14:33:16+00:00
05d03038-6aff-43c9-95f4-da6b1c12f806,dagster-run-05d03038-6aff-43c9-95f4-da6b1c12f806-pkh8b,2026-04-30T14:27:00+00:00,2026-04-30T14:27:00+00:00,2026-04-30T14:27:00+00:00,2026-04-30T14:28:58+00:00
060f75a0-c02c-4731-9c25-326357ff8c0e,dagster-run-060f75a0-c02c-4731-9c25-326357ff8c0e-c84nl,2026-04-30T14:11:08+00:00,2026-04-30T14:11:08+00:00,2026-04-30T14:11:08+00:00,2026-04-30T14:12:39+00:00
07b96224-c379-4d8c-8058-36c6b9dfc758,dagster-run-07b96224-c379-4d8c-8058-36c6b9dfc758-crx4x,2026-04-30T14:27:01+00:00,2026-04-30T14:27:01+00:00,2026-04-30T14:27:01+00:00,2026-04-30T14:28:58+00:00
083edb24-cd40-476c-a0de-1649c29bcb89,dagster-run-083edb24-cd40-476c-a0de-1649c29bcb89-959hg,2026-04-30T13:55:37+00:00,2026-04-30T13:55:37+00:00,2026-04-30T13:55:37+00:00,2026-04-30T13:57:04+00:00
0a0ada87-67eb-421f-ba36-9abd11be9be3,dagster-run-0a0ada87-67eb-421f-ba36-9abd11be9be3-w5sbl,2026-04-30T14:07:16+00:00,2026-04-30T14:07:16+00:00,2026-04-30T14:07:16+00:00,2026-04-30T14:08:49+00:00
0c071bb7-edfc-4fed-beb6-69185d173896,dagster-run-0c071bb7-edfc-4fed-beb6-69185d173896-xfkgx,2026-04-30T14:31:41+00:00,2026-04-30T14:31:41+00:00,2026-04-30T14:31:41+00:00,2026-04-30T14:33:53+00:00
1050e118-ce55-46b7-ab5f-eeee94ed3c27,dagster-run-1050e118-ce55-46b7-ab5f-eeee94ed3c27-b2rq7,2026-04-30T14:14:56+00:00,2026-04-30T14:14:56+00:00,2026-04-30T14:14:56+00:00,2026-04-30T14:16:33+00:00
12d4ed92-e22a-4a65-8219-e08f21f68adb,dagster-run-12d4ed92-e22a-4a65-8219-e08f21f68adb-fmzxj,2026-04-30T14:19:07+00:00,2026-04-30T14:19:07+00:00,2026-04-30T14:19:07+00:00,2026-04-30T14:21:03+00:00
13d7204d-cba9-498f-8afe-aa29f8457384,dagster-run-13d7204d-cba9-498f-8afe-aa29f8457384-zpzjs,2026-04-30T14:19:02+00:00,2026-04-30T14:19:02+00:00,2026-04-30T14:19:02+00:00,2026-04-30T14:21:00+00:00
13dc6634-9acc-439d-a1a1-624f61ab185c,dagster-run-13dc6634-9acc-439d-a1a1-624f61ab185c-dsrnf,2026-04-30T13:33:12+00:00,2026-04-30T13:33:12+00:00,2026-04-30T13:33:12+00:00,2026-04-30T13:34:34+00:00
18d1e471-47de-4908-865b-c1777ee3739e,dagster-run-18d1e471-47de-4908-865b-c1777ee3739e-4b8zk,2026-04-30T14:11:08+00:00,2026-04-30T14:11:08+00:00,2026-04-30T14:11:08+00:00,2026-04-30T14:12:40+00:00
1a7d5681-dc69-4478-a4dc-0e12266a5165,dagster-run-1a7d5681-dc69-4478-a4dc-0e12266a5165-p57jf,2026-04-30T14:31:18+00:00,2026-04-30T14:31:18+00:00,2026-04-30T14:31:18+00:00,2026-04-30T14:33:13+00:00
1fd94e5a-058d-461d-b065-7510fc179943,dagster-run-1fd94e5a-058d-461d-b065-7510fc179943-r67cd,2026-04-30T13:27:22+00:00,2026-04-30T13:27:23+00:00,2026-04-30T13:27:23+00:00,2026-04-30T13:28:58+00:00
22b51347-8089-49b8-917e-b47d1177de48,dagster-run-22b51347-8089-49b8-917e-b47d1177de48-ft24d,2026-04-30T14:19:01+00:00,2026-04-30T14:19:01+00:00,2026-04-30T14:19:01+00:00,2026-04-30T14:20:54+00:00
266cb36a-032f-4491-996d-cecf99ba0783,dagster-run-266cb36a-032f-4491-996d-cecf99ba0783-w92xv,2026-04-30T14:31:50+00:00,2026-04-30T14:31:50+00:00,2026-04-30T14:31:50+00:00,2026-04-30T14:33:55+00:00
29cb3b48-cdef-475f-b312-007fc8c492ba,dagster-run-29cb3b48-cdef-475f-b312-007fc8c492ba-vb9px,2026-04-30T13:59:35+00:00,2026-04-30T13:59:35+00:00,2026-04-30T13:59:35+00:00,2026-04-30T14:01:06+00:00
2a2cac60-1677-4548-8542-17fcd6452272,dagster-run-2a2cac60-1677-4548-8542-17fcd6452272-7s8th,2026-04-30T14:23:07+00:00,2026-04-30T14:23:07+00:00,2026-04-30T14:23:07+00:00,2026-04-30T14:24:56+00:00
34062132-329e-428a-8431-bb229920f3b2,dagster-run-34062132-329e-428a-8431-bb229920f3b2-z9pf7,2026-04-30T14:15:18+00:00,2026-04-30T14:15:18+00:00,2026-04-30T14:15:18+00:00,2026-04-30T14:16:58+00:00
4504ffab-c9f3-4323-9848-f3bfac9abfb4,dagster-run-4504ffab-c9f3-4323-9848-f3bfac9abfb4-zx89t,2026-04-30T14:19:11+00:00,2026-04-30T14:19:11+00:00,2026-04-30T14:19:11+00:00,2026-04-30T14:21:10+00:00
454b8f27-4a8f-4804-a44f-7b05329306c9,dagster-run-454b8f27-4a8f-4804-a44f-7b05329306c9-m9fzr,2026-04-30T14:23:11+00:00,2026-04-30T14:23:11+00:00,2026-04-30T14:23:11+00:00,2026-04-30T14:25:02+00:00
478ef08e-32c0-4903-9c4b-41e0b1225e6e,dagster-run-478ef08e-32c0-4903-9c4b-41e0b1225e6e-rzrnr,2026-04-30T14:15:08+00:00,2026-04-30T14:15:08+00:00,2026-04-30T14:15:08+00:00,2026-04-30T14:16:48+00:00
4c6a2ebf-f358-4cc5-80b8-86ee771aa7c7,dagster-run-4c6a2ebf-f358-4cc5-80b8-86ee771aa7c7-mjtfb,2026-04-30T14:03:32+00:00,2026-04-30T14:03:32+00:00,2026-04-30T14:03:32+00:00,2026-04-30T14:05:06+00:00
4c931e0d-bebe-47c2-8722-8942890e29c0,dagster-run-4c931e0d-bebe-47c2-8722-8942890e29c0-5mdhw,2026-04-30T14:27:07+00:00,2026-04-30T14:27:07+00:00,2026-04-30T14:27:07+00:00,2026-04-30T14:29:11+00:00
4dd15587-8c63-4661-bcf8-3921942e480f,dagster-run-4dd15587-8c63-4661-bcf8-3921942e480f-zkhxv,2026-04-30T14:03:17+00:00,2026-04-30T14:03:17+00:00,2026-04-30T14:03:17+00:00,2026-04-30T14:04:49+00:00
50a9f5b4-1091-4068-afef-2b1eb51368f9,dagster-run-50a9f5b4-1091-4068-afef-2b1eb51368f9-8wgks,2026-04-30T14:03:27+00:00,2026-04-30T14:03:27+00:00,2026-04-30T14:03:27+00:00,2026-04-30T14:05:02+00:00
573e44f7-604f-4772-97e1-bd2558feeaf9,dagster-run-573e44f7-604f-4772-97e1-bd2558feeaf9-jxx8r,2026-04-30T14:23:08+00:00,2026-04-30T14:23:08+00:00,2026-04-30T14:23:08+00:00,2026-04-30T14:24:58+00:00
598779a7-f844-47db-bda1-d897068d3d33,dagster-run-598779a7-f844-47db-bda1-d897068d3d33-tjrvm,2026-04-30T14:18:55+00:00,2026-04-30T14:18:55+00:00,2026-04-30T14:18:55+00:00,2026-04-30T14:20:47+00:00
605f4018-7427-4201-8887-589a88b214d0,dagster-run-605f4018-7427-4201-8887-589a88b214d0-fv5jh,2026-04-30T14:14:57+00:00,2026-04-30T14:14:57+00:00,2026-04-30T14:14:57+00:00,2026-04-30T14:16:33+00:00
63f0f8e1-6095-4f54-b7bc-4b4eb68141e7,dagster-run-63f0f8e1-6095-4f54-b7bc-4b4eb68141e7-gk9nn,2026-04-30T14:31:40+00:00,2026-04-30T14:31:40+00:00,2026-04-30T14:31:40+00:00,2026-04-30T14:33:52+00:00
