run_id,pod_name,submitted_ts,scheduled_ts,running_ts,job_start_ts
02413153-61e6-4ad4-a128-323886bc5a16,dagster-run-02413153-61e6-4ad4-a128-323886bc5a16-vvx97,2026-05-01T12:31:46+00:00,2026-05-01T12:31:46+00:00,2026-05-01T12:31:46+00:00,2026-05-01T12:33:02+00:00
143c0a3f-0ca6-4ffb-b978-607bee61b0f1,dagster-run-143c0a3f-0ca6-4ffb-b978-607bee61b0f1-wwnvs,2026-05-01T13:04:51+00:00,2026-05-01T13:04:51+00:00,2026-05-01T13:04:51+00:00,2026-05-01T13:06:48+00:00
17a96d4f-1807-4472-8909-b18839723530,dagster-run-17a96d4f-1807-4472-8909-b18839723530-np8jk,2026-05-01T12:57:19+00:00,2026-05-01T12:57:19+00:00,2026-05-01T12:57:19+00:00,2026-05-01T13:02:14+00:00
18073307-8be0-4561-a966-442f663d03b7,dagster-run-18073307-8be0-4561-a966-442f663d03b7-rkvqx,2026-05-01T12:57:01+00:00,2026-05-01T12:57:01+00:00,2026-05-01T12:57:01+00:00,2026-05-01T13:01:34+00:00
2cf0f7ab-7144-496c-937e-a550c61a238e,dagster-run-2cf0f7ab-7144-496c-937e-a550c61a238e-9zkcl,2026-05-01T12:39:08+00:00,2026-05-01T12:39:08+00:00,2026-05-01T12:39:08+00:00,2026-05-01T12:40:15+00:00
3b1edbe5-8141-432b-b8d9-012e2cfb6ba9,dagster-run-3b1edbe5-8141-432b-b8d9-012e2cfb6ba9-9s6pb,2026-05-01T09:36:02+00:00,2026-05-01T09:36:02+00:00,2026-05-01T09:36:02+00:00,2026-05-01T09:37:29+00:00
413d16b4-0a7c-4117-a7a2-8f7602b64f5f,dagster-run-413d16b4-0a7c-4117-a7a2-8f7602b64f5f-hg9np,2026-05-01T13:04:24+00:00,2026-05-01T13:04:24+00:00,2026-05-01T13:04:24+00:00,2026-05-01T13:06:48+00:00
41dec9a2-d115-413d-91f3-891260bdb88b,dagster-run-41dec9a2-d115-413d-91f3-891260bdb88b-mdmbn,2026-05-01T12:53:27+00:00,2026-05-01T12:53:27+00:00,2026-05-01T12:53:27+00:00,2026-05-01T12:56:02+00:00
44d26e3d-07a4-46e0-b0f2-0faa32c4e96b,dagster-run-44d26e3d-07a4-46e0-b0f2-0faa32c4e96b-npzrm,2026-05-01T12:46:25+00:00,2026-05-01T12:46:25+00:00,2026-05-01T12:46:25+00:00,2026-05-01T12:47:41+00:00
51fd2d2a-893b-46c3-9f33-06306a553018,dagster-run-51fd2d2a-893b-46c3-9f33-06306a553018-99n9n,2026-05-01T13:09:15+00:00,2026-05-01T13:09:15+00:00,2026-05-01T13:09:15+00:00,2026-05-01T13:09:16+00:00
67f00807-1205-4c6b-a77b-f7d521b953b6,dagster-run-67f00807-1205-4c6b-a77b-f7d521b953b6-dfrff,2026-05-01T12:53:48+00:00,2026-05-01T12:53:48+00:00,2026-05-01T12:53:48+00:00,2026-05-01T12:56:02+00:00
69b80d99-128d-46b0-9290-1999758f28b3,dagster-run-69b80d99-128d-46b0-9290-1999758f28b3-lk75q,2026-05-01T12:46:11+00:00,2026-05-01T12:46:11+00:00,2026-05-01T12:46:11+00:00,2026-05-01T12:47:40+00:00
