timestamp,pod,cpu_millicores,memory_mib
1776311157,dagster-thesis-daemon-79fbf6d8b7-bpzsf,11,191
1776311157,dagster-thesis-postgresql-0,11,37
1776311157,dagster-thesis-webserver-6f8dc5c8d-lgnjf,6,148
1776311157,dagster-thesis-workload-578f694dcf-d6phq,73,112
1776311159,dagster-thesis-daemon-79fbf6d8b7-bpzsf,14,191
1776311159,dagster-thesis-postgresql-0,16,37
1776311160,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311160,dagster-thesis-workload-578f694dcf-d6phq,77,112
1776311162,dagster-thesis-daemon-79fbf6d8b7-bpzsf,14,191
1776311162,dagster-thesis-postgresql-0,16,37
1776311162,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311162,dagster-thesis-workload-578f694dcf-d6phq,77,112
1776311164,dagster-thesis-daemon-79fbf6d8b7-bpzsf,14,191
1776311164,dagster-thesis-postgresql-0,16,37
1776311164,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311164,dagster-thesis-workload-578f694dcf-d6phq,77,112
1776311166,dagster-thesis-daemon-79fbf6d8b7-bpzsf,14,191
1776311166,dagster-thesis-postgresql-0,16,37
1776311166,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311166,dagster-thesis-workload-578f694dcf-d6phq,77,112
1776311168,dagster-thesis-daemon-79fbf6d8b7-bpzsf,14,191
1776311168,dagster-thesis-postgresql-0,16,37
1776311168,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311168,dagster-thesis-workload-578f694dcf-d6phq,77,112
1776311170,dagster-thesis-daemon-79fbf6d8b7-bpzsf,14,191
1776311170,dagster-thesis-postgresql-0,16,37
1776311170,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311170,dagster-thesis-workload-578f694dcf-d6phq,77,112
1776311172,dagster-thesis-daemon-79fbf6d8b7-bpzsf,14,191
1776311172,dagster-thesis-postgresql-0,16,37
1776311172,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311172,dagster-thesis-workload-578f694dcf-d6phq,77,112
1776311174,dagster-run-a3ec9148-002d-42e7-9a2b-2155dd2eb3a8-v5k56,975,211
1776311174,dagster-thesis-daemon-79fbf6d8b7-bpzsf,16,190
1776311174,dagster-thesis-postgresql-0,24,37
1776311174,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311174,dagster-thesis-workload-578f694dcf-d6phq,45,112
1776311176,dagster-run-a3ec9148-002d-42e7-9a2b-2155dd2eb3a8-v5k56,975,211
1776311176,dagster-thesis-daemon-79fbf6d8b7-bpzsf,16,190
1776311176,dagster-thesis-postgresql-0,24,37
1776311176,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311176,dagster-thesis-workload-578f694dcf-d6phq,45,112
1776311178,dagster-run-a3ec9148-002d-42e7-9a2b-2155dd2eb3a8-v5k56,975,211
1776311178,dagster-thesis-daemon-79fbf6d8b7-bpzsf,16,190
1776311178,dagster-thesis-postgresql-0,24,37
1776311178,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311178,dagster-thesis-workload-578f694dcf-d6phq,45,112
1776311180,dagster-run-a3ec9148-002d-42e7-9a2b-2155dd2eb3a8-v5k56,975,211
1776311180,dagster-thesis-daemon-79fbf6d8b7-bpzsf,16,190
1776311180,dagster-thesis-postgresql-0,24,37
1776311180,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311180,dagster-thesis-workload-578f694dcf-d6phq,45,112
1776311182,dagster-run-a3ec9148-002d-42e7-9a2b-2155dd2eb3a8-v5k56,975,211
1776311182,dagster-thesis-daemon-79fbf6d8b7-bpzsf,16,190
1776311182,dagster-thesis-postgresql-0,24,37
1776311183,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311183,dagster-thesis-workload-578f694dcf-d6phq,45,112
1776311185,dagster-run-a3ec9148-002d-42e7-9a2b-2155dd2eb3a8-v5k56,975,211
1776311185,dagster-thesis-daemon-79fbf6d8b7-bpzsf,16,190
1776311185,dagster-thesis-postgresql-0,24,37
1776311185,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311185,dagster-thesis-workload-578f694dcf-d6phq,45,112
1776311187,dagster-run-a3ec9148-002d-42e7-9a2b-2155dd2eb3a8-v5k56,975,211
1776311187,dagster-thesis-daemon-79fbf6d8b7-bpzsf,16,190
1776311187,dagster-thesis-postgresql-0,24,37
1776311187,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311187,dagster-thesis-workload-578f694dcf-d6phq,45,112
1776311189,dagster-run-a3ec9148-002d-42e7-9a2b-2155dd2eb3a8-v5k56,975,211
1776311189,dagster-thesis-daemon-79fbf6d8b7-bpzsf,16,190
1776311189,dagster-thesis-postgresql-0,24,37
1776311189,dagster-thesis-webserver-6f8dc5c8d-lgnjf,8,148
1776311189,dagster-thesis-workload-578f694dcf-d6phq,45,112
1776311191,dagster-run-a3ec9148-002d-42e7-9a2b-2155dd2eb3a8-v5k56,995,211
1776311191,dagster-thesis-daemon-79fbf6d8b7-bpzsf,10,191
1776311191,dagster-thesis-postgresql-0,24,37
1776311191,dagster-thesis-webserver-6f8dc5c8d-lgnjf,5,147
1776311191,dagster-thesis-workload-578f694dcf-d6phq,58,112
1776311193,dagster-run-a3ec9148-002d-42e7-9a2b-2155dd2eb3a8-v5k56,995,211
1776311193,dagster-thesis-daemon-79fbf6d8b7-bpzsf,10,191
1776311193,dagster-thesis-postgresql-0,24,37
1776311193,dagster-thesis-webserver-6f8dc5c8d-lgnjf,5,147
1776311193,dagster-thesis-workload-578f694dcf-d6phq,58,112
1776311195,dagster-run-a3ec9148-002d-42e7-9a2b-2155dd2eb3a8-v5k56,995,211
1776311195,dagster-thesis-daemon-79fbf6d8b7-bpzsf,10,191
1776311195,dagster-thesis-postgresql-0,24,37
1776311195,dagster-thesis-webserver-6f8dc5c8d-lgnjf,5,147
1776311195,dagster-thesis-workload-578f694dcf-d6phq,58,112
1776311197,dagster-run-a3ec9148-002d-42e7-9a2b-2155dd2eb3a8-v5k56,995,211
1776311197,dagster-thesis-daemon-79fbf6d8b7-bpzsf,10,191
1776311197,dagster-thesis-postgresql-0,24,37
1776311197,dagster-thesis-webserver-6f8dc5c8d-lgnjf,5,147
1776311197,dagster-thesis-workload-578f694dcf-d6phq,58,112
1776311199,dagster-thesis-daemon-79fbf6d8b7-bpzsf,10,191
1776311199,dagster-thesis-postgresql-0,24,37
1776311199,dagster-thesis-webserver-6f8dc5c8d-lgnjf,5,147
1776311199,dagster-thesis-workload-578f694dcf-d6phq,58,112
1776311201,dagster-thesis-daemon-79fbf6d8b7-bpzsf,10,191
1776311201,dagster-thesis-postgresql-0,24,37
1776311201,dagster-thesis-webserver-6f8dc5c8d-lgnjf,5,147
1776311201,dagster-thesis-workload-578f694dcf-d6phq,58,112
1776311203,dagster-thesis-daemon-79fbf6d8b7-bpzsf,10,191
1776311203,dagster-thesis-postgresql-0,24,37
1776311203,dagster-thesis-webserver-6f8dc5c8d-lgnjf,5,147
1776311203,dagster-thesis-workload-578f694dcf-d6phq,58,112
1776311205,dagster-thesis-daemon-79fbf6d8b7-bpzsf,8,191
1776311205,dagster-thesis-postgresql-0,9,37
1776311206,dagster-thesis-webserver-6f8dc5c8d-lgnjf,4,147
1776311206,dagster-thesis-workload-578f694dcf-d6phq,73,112
1776311208,dagster-thesis-daemon-79fbf6d8b7-bpzsf,8,191
1776311208,dagster-thesis-postgresql-0,9,37
1776311208,dagster-thesis-webserver-6f8dc5c8d-lgnjf,4,147
1776311208,dagster-thesis-workload-578f694dcf-d6phq,73,112
1776311210,dagster-thesis-daemon-79fbf6d8b7-bpzsf,8,191
1776311210,dagster-thesis-postgresql-0,9,37
1776311210,dagster-thesis-webserver-6f8dc5c8d-lgnjf,4,147
1776311210,dagster-thesis-workload-578f694dcf-d6phq,73,112
1776311212,dagster-thesis-daemon-79fbf6d8b7-bpzsf,8,191
1776311212,dagster-thesis-postgresql-0,9,37
1776311212,dagster-thesis-webserver-6f8dc5c8d-lgnjf,4,147
1776311212,dagster-thesis-workload-578f694dcf-d6phq,73,112
1776311214,dagster-thesis-daemon-79fbf6d8b7-bpzsf,8,191
1776311214,dagster-thesis-postgresql-0,9,37
1776311214,dagster-thesis-webserver-6f8dc5c8d-lgnjf,4,147
1776311214,dagster-thesis-workload-578f694dcf-d6phq,73,112
1776311216,dagster-thesis-daemon-79fbf6d8b7-bpzsf,8,191
1776311216,dagster-thesis-postgresql-0,9,37
1776311216,dagster-thesis-webserver-6f8dc5c8d-lgnjf,4,147
1776311216,dagster-thesis-workload-578f694dcf-d6phq,73,112
