timestamp,pod,cpu_millicores,memory_mib
1777283246,dagster-thesis-daemon-5899b9b5d-57hqv,19,190
1777283246,dagster-thesis-postgresql-0,18,47
1777283246,dagster-thesis-webserver-64848cbff5-swthz,7,143
1777283246,dagster-thesis-workload-68d48d9786-58tqg,79,119
1777283249,dagster-thesis-daemon-5899b9b5d-57hqv,19,190
1777283249,dagster-thesis-postgresql-0,18,47
1777283249,dagster-thesis-webserver-64848cbff5-swthz,7,143
1777283249,dagster-thesis-workload-68d48d9786-58tqg,79,119
1777283251,dagster-thesis-daemon-5899b9b5d-57hqv,15,191
1777283251,dagster-thesis-postgresql-0,17,48
1777283251,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283251,dagster-thesis-workload-68d48d9786-58tqg,77,119
1777283253,dagster-thesis-daemon-5899b9b5d-57hqv,15,191
1777283253,dagster-thesis-postgresql-0,17,48
1777283253,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283253,dagster-thesis-workload-68d48d9786-58tqg,77,119
1777283255,dagster-thesis-daemon-5899b9b5d-57hqv,15,191
1777283255,dagster-thesis-postgresql-0,17,48
1777283255,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283255,dagster-thesis-workload-68d48d9786-58tqg,77,119
1777283257,dagster-thesis-daemon-5899b9b5d-57hqv,15,191
1777283257,dagster-thesis-postgresql-0,17,48
1777283257,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283257,dagster-thesis-workload-68d48d9786-58tqg,77,119
1777283259,dagster-thesis-daemon-5899b9b5d-57hqv,15,191
1777283259,dagster-thesis-postgresql-0,17,48
1777283259,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283259,dagster-thesis-workload-68d48d9786-58tqg,77,119
1777283261,dagster-thesis-daemon-5899b9b5d-57hqv,15,191
1777283261,dagster-thesis-postgresql-0,17,48
1777283261,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283261,dagster-thesis-workload-68d48d9786-58tqg,77,119
1777283264,dagster-thesis-daemon-5899b9b5d-57hqv,15,191
1777283264,dagster-thesis-postgresql-0,17,48
1777283264,dagster-thesis-webserver-64848cbff5-swthz,9,143
1777283264,dagster-thesis-workload-68d48d9786-58tqg,77,119
1777283266,dagster-run-38f040ed-c426-45dc-8faa-7dacb8e5537a-bdv8n,979,230
1777283266,dagster-run-d8d9ed13-46fd-4960-ba36-961ce2a5ba84-kh8wd,981,230
1777283266,dagster-thesis-daemon-5899b9b5d-57hqv,23,191
1777283266,dagster-thesis-postgresql-0,37,48
1777283266,dagster-thesis-webserver-64848cbff5-swthz,10,143
1777283266,dagster-thesis-workload-68d48d9786-58tqg,51,119
