timestamp,pod,cpu_millicores,memory_mib
1777638488,dagster-thesis-daemon-5899b9b5d-57hqv,15,178
1777638488,dagster-thesis-postgresql-0,20,77
1777638488,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777638488,dagster-thesis-workload-68d48d9786-58tqg,77,127
1777638491,dagster-thesis-daemon-5899b9b5d-57hqv,15,178
1777638491,dagster-thesis-postgresql-0,20,77
1777638491,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777638491,dagster-thesis-workload-68d48d9786-58tqg,77,127
1777638493,dagster-thesis-daemon-5899b9b5d-57hqv,15,178
1777638493,dagster-thesis-postgresql-0,20,77
1777638493,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777638493,dagster-thesis-workload-68d48d9786-58tqg,77,127
1777638495,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777638495,dagster-thesis-postgresql-0,20,77
1777638495,dagster-thesis-webserver-64848cbff5-swthz,11,160
1777638495,dagster-thesis-workload-68d48d9786-58tqg,92,127
1777638497,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777638497,dagster-thesis-postgresql-0,20,77
1777638497,dagster-thesis-webserver-64848cbff5-swthz,11,160
1777638497,dagster-thesis-workload-68d48d9786-58tqg,92,127
1777638499,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777638499,dagster-thesis-postgresql-0,20,77
1777638499,dagster-thesis-webserver-64848cbff5-swthz,11,160
1777638499,dagster-thesis-workload-68d48d9786-58tqg,92,127
1777638501,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777638501,dagster-thesis-postgresql-0,20,77
1777638501,dagster-thesis-webserver-64848cbff5-swthz,11,160
1777638501,dagster-thesis-workload-68d48d9786-58tqg,92,127
1777638504,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777638504,dagster-thesis-postgresql-0,20,77
1777638504,dagster-thesis-webserver-64848cbff5-swthz,11,160
1777638504,dagster-thesis-workload-68d48d9786-58tqg,92,127
1777638506,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777638506,dagster-thesis-postgresql-0,20,77
1777638506,dagster-thesis-webserver-64848cbff5-swthz,11,160
1777638506,dagster-thesis-workload-68d48d9786-58tqg,92,127
1777638508,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777638508,dagster-thesis-postgresql-0,20,77
1777638508,dagster-thesis-webserver-64848cbff5-swthz,11,160
1777638508,dagster-thesis-workload-68d48d9786-58tqg,92,127
1777638510,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,967,230
1777638510,dagster-thesis-daemon-5899b9b5d-57hqv,18,177
1777638510,dagster-thesis-postgresql-0,30,77
1777638510,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638510,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638512,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,967,230
1777638512,dagster-thesis-daemon-5899b9b5d-57hqv,18,177
1777638512,dagster-thesis-postgresql-0,30,77
1777638512,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638512,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638514,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,967,230
1777638514,dagster-thesis-daemon-5899b9b5d-57hqv,18,177
1777638514,dagster-thesis-postgresql-0,30,77
1777638514,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638514,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638517,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,967,230
1777638517,dagster-thesis-daemon-5899b9b5d-57hqv,18,177
1777638517,dagster-thesis-postgresql-0,30,77
1777638517,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638517,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638519,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,967,230
1777638519,dagster-thesis-daemon-5899b9b5d-57hqv,18,177
1777638519,dagster-thesis-postgresql-0,30,77
1777638519,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638519,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638521,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,967,230
1777638521,dagster-thesis-daemon-5899b9b5d-57hqv,18,177
1777638521,dagster-thesis-postgresql-0,30,77
1777638521,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638521,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638523,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,967,230
1777638523,dagster-thesis-daemon-5899b9b5d-57hqv,18,177
1777638523,dagster-thesis-postgresql-0,30,77
1777638523,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638523,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638525,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,997,230
1777638525,dagster-thesis-daemon-5899b9b5d-57hqv,16,178
1777638525,dagster-thesis-postgresql-0,17,77
1777638525,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638525,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638527,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,997,230
1777638527,dagster-thesis-daemon-5899b9b5d-57hqv,16,178
1777638527,dagster-thesis-postgresql-0,17,77
1777638527,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638527,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638529,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,997,230
1777638529,dagster-thesis-daemon-5899b9b5d-57hqv,16,178
1777638529,dagster-thesis-postgresql-0,17,77
1777638529,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638529,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638531,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,997,230
1777638531,dagster-thesis-daemon-5899b9b5d-57hqv,16,178
1777638531,dagster-thesis-postgresql-0,17,77
1777638531,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638531,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638534,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,997,230
1777638534,dagster-thesis-daemon-5899b9b5d-57hqv,16,178
1777638534,dagster-thesis-postgresql-0,17,77
1777638534,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638534,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638536,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,997,230
1777638536,dagster-thesis-daemon-5899b9b5d-57hqv,16,178
1777638536,dagster-thesis-postgresql-0,17,77
1777638536,dagster-thesis-webserver-64848cbff5-swthz,5,160
1777638536,dagster-thesis-workload-68d48d9786-58tqg,66,127
1777638538,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,997,230
1777638538,dagster-thesis-daemon-5899b9b5d-57hqv,16,178
1777638538,dagster-thesis-postgresql-0,17,77
1777638538,dagster-thesis-webserver-64848cbff5-swthz,5,160
