run_id,pod_name,submitted_ts,scheduled_ts,running_ts,job_start_ts
3b1edbe5-8141-432b-b8d9-012e2cfb6ba9,dagster-run-3b1edbe5-8141-432b-b8d9-012e2cfb6ba9-9s6pb,2026-05-01T09:36:02+00:00,2026-05-01T09:36:02+00:00,2026-05-01T09:36:02+00:00,2026-05-01T09:37:29+00:00
a14309ee-0210-4bf7-bc44-d13036222fcf,dagster-run-a14309ee-0210-4bf7-bc44-d13036222fcf-j2mtj,2026-05-01T12:28:11+00:00,2026-05-01T12:28:11+00:00,2026-05-01T12:28:11+00:00,2026-05-01T12:29:22+00:00
c8f04c4d-597a-41c8-ad54-430b7cafe012,dagster-run-c8f04c4d-597a-41c8-ad54-430b7cafe012-g98f9,2026-05-01T09:39:48+00:00,2026-05-01T09:39:48+00:00,2026-05-01T09:39:48+00:00,2026-05-01T12:25:53+00:00
