run_id,status,start_time,end_time,job_name,concurrency_level,repetition,memory_mb_allocated,peak_rss_mb
10e05272-fb82-4b89-b5ac-3daa2ae16c8c,SUCCESS,2026-04-26T21:38:01.194029+00:00,2026-04-26T21:38:34.006299+00:00,thesis_workload,5,3,,
ef221e4b-6cfd-4dca-827c-d270fd4b0788,SUCCESS,2026-04-26T21:38:01.513423+00:00,2026-04-26T21:38:34.216420+00:00,thesis_workload,5,3,,
94db5ad8-7ef6-4b35-8b2e-76f1706649a8,SUCCESS,2026-04-26T21:38:01.776010+00:00,2026-04-26T21:38:34.351363+00:00,thesis_workload,5,3,,
c5f52d74-1ebd-4eb6-ab16-ba406cf24a2b,SUCCESS,2026-04-26T21:38:02.467585+00:00,2026-04-26T21:38:35.189482+00:00,thesis_workload,5,3,,
c9ccb4b1-a0ba-461e-8769-6ef3dbd4fb90,SUCCESS,2026-04-26T21:44:37.814900+00:00,2026-04-26T21:45:10.782571+00:00,thesis_workload,7,1,,
abf5bf1e-74a4-42e2-8393-f5baa3afddf6,SUCCESS,2026-04-26T21:44:37.902879+00:00,2026-04-26T21:45:11.049551+00:00,thesis_workload,7,1,,
10ce0b7f-a65e-445c-962f-8c25165dfd6b,SUCCESS,2026-04-26T21:44:38.621127+00:00,2026-04-26T21:45:12.029116+00:00,thesis_workload,7,1,,
21fa1855-6451-4450-8a33-fc05cd584a9d,SUCCESS,2026-04-26T21:44:38.996806+00:00,2026-04-26T21:45:12.668475+00:00,thesis_workload,7,1,,
404f8d68-56df-4e16-b42a-0dd18eff2dd8,SUCCESS,2026-04-26T21:44:39.540919+00:00,2026-04-26T21:45:13.420421+00:00,thesis_workload,7,1,,
9c2ca53b-93da-4124-89a9-075a87c5a503,SUCCESS,2026-04-26T21:44:39.846929+00:00,2026-04-26T21:45:13.736670+00:00,thesis_workload,7,1,,
4ca2cf2d-a172-428f-b378-3f42189aa580,SUCCESS,2026-04-26T21:44:41.003288+00:00,2026-04-26T21:45:14.859296+00:00,thesis_workload,7,1,,
440988b0-6249-4510-91a2-e97b596b3fce,SUCCESS,2026-04-26T21:53:12.736282+00:00,2026-04-26T21:53:46.449812+00:00,thesis_workload,7,2,,
253562b9-aa30-46bc-894c-231bbee41a5d,SUCCESS,2026-04-26T21:53:13.067946+00:00,2026-04-26T21:53:46.067415+00:00,thesis_workload,7,2,,
f6bf9155-ff19-4b66-9663-7c20db51c7b6,SUCCESS,2026-04-26T21:53:13.296353+00:00,2026-04-26T21:53:46.623121+00:00,thesis_workload,7,2,,
8d15223a-e939-46c8-8b09-923311e52b58,SUCCESS,2026-04-26T21:53:14.191939+00:00,2026-04-26T21:53:47.657430+00:00,thesis_workload,7,2,,
