timestamp,pod,cpu_millicores,memory_mib
1777640218,dagster-thesis-daemon-5899b9b5d-57hqv,26,178
1777640218,dagster-thesis-postgresql-0,26,78
1777640218,dagster-thesis-webserver-64848cbff5-swthz,9,142
1777640218,dagster-thesis-workload-68d48d9786-58tqg,115,167
1777640220,dagster-thesis-daemon-5899b9b5d-57hqv,19,178
1777640220,dagster-thesis-postgresql-0,27,78
1777640220,dagster-thesis-webserver-64848cbff5-swthz,7,142
1777640220,dagster-thesis-workload-68d48d9786-58tqg,97,181
1777640222,dagster-thesis-daemon-5899b9b5d-57hqv,19,178
1777640222,dagster-thesis-postgresql-0,27,78
1777640222,dagster-thesis-webserver-64848cbff5-swthz,7,142
1777640222,dagster-thesis-workload-68d48d9786-58tqg,97,181
1777640225,dagster-thesis-daemon-5899b9b5d-57hqv,19,178
1777640225,dagster-thesis-postgresql-0,27,78
1777640225,dagster-thesis-webserver-64848cbff5-swthz,7,142
1777640225,dagster-thesis-workload-68d48d9786-58tqg,97,181
1777640227,dagster-thesis-daemon-5899b9b5d-57hqv,19,178
1777640227,dagster-thesis-postgresql-0,27,78
1777640227,dagster-thesis-webserver-64848cbff5-swthz,7,142
1777640227,dagster-thesis-workload-68d48d9786-58tqg,97,181
1777640229,dagster-thesis-daemon-5899b9b5d-57hqv,19,178
1777640229,dagster-thesis-postgresql-0,27,78
1777640229,dagster-thesis-webserver-64848cbff5-swthz,7,142
1777640229,dagster-thesis-workload-68d48d9786-58tqg,97,181
1777640231,dagster-thesis-daemon-5899b9b5d-57hqv,19,178
1777640231,dagster-thesis-postgresql-0,27,78
1777640231,dagster-thesis-webserver-64848cbff5-swthz,7,142
1777640231,dagster-thesis-workload-68d48d9786-58tqg,97,181
1777640234,dagster-thesis-daemon-5899b9b5d-57hqv,19,178
1777640234,dagster-thesis-postgresql-0,27,78
1777640234,dagster-thesis-webserver-64848cbff5-swthz,7,142
1777640234,dagster-thesis-workload-68d48d9786-58tqg,97,181
1777640236,dagster-run-18073307-8be0-4561-a966-442f663d03b7-rkvqx,267,115
1777640236,dagster-run-852fc6ee-4b6e-4df3-835d-f305a2824033-vnp85,270,115
