timestamp,pod,cpu_millicores,memory_mib
1777641559,dagster-thesis-daemon-5899b9b5d-57hqv,25,179
1777641559,dagster-thesis-postgresql-0,24,78
1777641559,dagster-thesis-webserver-64848cbff5-swthz,8,143
1777641561,dagster-thesis-daemon-5899b9b5d-57hqv,25,179
1777641561,dagster-thesis-postgresql-0,24,78
1777641561,dagster-thesis-webserver-64848cbff5-swthz,8,143
1777641563,dagster-thesis-daemon-5899b9b5d-57hqv,16,179
1777641563,dagster-thesis-postgresql-0,26,79
1777641563,dagster-thesis-webserver-64848cbff5-swthz,7,143
1777641566,dagster-thesis-daemon-5899b9b5d-57hqv,16,179
1777641566,dagster-thesis-postgresql-0,26,79
1777641566,dagster-thesis-webserver-64848cbff5-swthz,7,143
1777641568,dagster-thesis-daemon-5899b9b5d-57hqv,16,179
1777641568,dagster-thesis-postgresql-0,26,79
1777641568,dagster-thesis-webserver-64848cbff5-swthz,7,143
1777641570,dagster-thesis-daemon-5899b9b5d-57hqv,16,179
1777641570,dagster-thesis-postgresql-0,26,79
1777641570,dagster-thesis-webserver-64848cbff5-swthz,7,143
1777641572,dagster-thesis-daemon-5899b9b5d-57hqv,16,179
1777641572,dagster-thesis-postgresql-0,26,79
1777641572,dagster-thesis-webserver-64848cbff5-swthz,7,143
1777641574,dagster-thesis-daemon-5899b9b5d-57hqv,16,179
1777641574,dagster-thesis-postgresql-0,26,79
1777641574,dagster-thesis-webserver-64848cbff5-swthz,7,143
1777641577,dagster-thesis-daemon-5899b9b5d-57hqv,16,179
1777641577,dagster-thesis-postgresql-0,26,79
1777641577,dagster-thesis-webserver-64848cbff5-swthz,7,143
1777641579,dagster-thesis-daemon-5899b9b5d-57hqv,24,178
1777641579,dagster-thesis-postgresql-0,18,79
1777641579,dagster-thesis-webserver-64848cbff5-swthz,11,143
1777641579,dagster-thesis-workload-68d48d9786-58tqg,251,106
1777641581,dagster-thesis-daemon-5899b9b5d-57hqv,24,178
1777641581,dagster-thesis-postgresql-0,18,79
1777641581,dagster-thesis-webserver-64848cbff5-swthz,11,143
1777641581,dagster-thesis-workload-68d48d9786-58tqg,251,106
1777641583,dagster-thesis-daemon-5899b9b5d-57hqv,24,178
1777641583,dagster-thesis-postgresql-0,18,79
1777641583,dagster-thesis-webserver-64848cbff5-swthz,11,143
1777641583,dagster-thesis-workload-68d48d9786-58tqg,251,106
1777641586,dagster-thesis-daemon-5899b9b5d-57hqv,24,178
1777641586,dagster-thesis-postgresql-0,18,79
1777641586,dagster-thesis-webserver-64848cbff5-swthz,11,143
1777641586,dagster-thesis-workload-68d48d9786-58tqg,251,106
1777641588,dagster-thesis-daemon-5899b9b5d-57hqv,24,178
1777641588,dagster-thesis-postgresql-0,18,79
1777641588,dagster-thesis-webserver-64848cbff5-swthz,11,143
1777641588,dagster-thesis-workload-68d48d9786-58tqg,251,106
1777641590,dagster-thesis-daemon-5899b9b5d-57hqv,24,178
1777641590,dagster-thesis-postgresql-0,18,79
1777641590,dagster-thesis-webserver-64848cbff5-swthz,11,143
1777641590,dagster-thesis-workload-68d48d9786-58tqg,251,106
1777641592,dagster-thesis-daemon-5899b9b5d-57hqv,24,178
1777641592,dagster-thesis-postgresql-0,18,79
1777641592,dagster-thesis-webserver-64848cbff5-swthz,11,143
1777641592,dagster-thesis-workload-68d48d9786-58tqg,251,106
1777641594,dagster-thesis-daemon-5899b9b5d-57hqv,17,178
1777641594,dagster-thesis-postgresql-0,29,79
1777641594,dagster-thesis-webserver-64848cbff5-swthz,13,143
1777641594,dagster-thesis-workload-68d48d9786-58tqg,251,106
1777641597,dagster-thesis-daemon-5899b9b5d-57hqv,17,178
1777641597,dagster-thesis-postgresql-0,29,79
1777641597,dagster-thesis-webserver-64848cbff5-swthz,13,143
1777641597,dagster-thesis-workload-68d48d9786-58tqg,251,106
1777641599,dagster-thesis-daemon-5899b9b5d-57hqv,17,178
1777641599,dagster-thesis-postgresql-0,29,79
1777641599,dagster-thesis-webserver-64848cbff5-swthz,13,143
1777641599,dagster-thesis-workload-68d48d9786-58tqg,251,106
1777641601,dagster-thesis-daemon-5899b9b5d-57hqv,17,178
1777641601,dagster-thesis-postgresql-0,29,79
