timestamp,pod,cpu_millicores,memory_mib
1777558253,dagster-thesis-daemon-6d4965785d-4q6wb,33,181
1777558253,dagster-thesis-postgresql-0,42,50
1777558253,dagster-thesis-webserver-749fbb6577-fvvnw,16,158
1777558253,dagster-thesis-workload-7b66f56b79-wkb4p,94,168
1777558256,dagster-thesis-daemon-6d4965785d-4q6wb,33,181
1777558256,dagster-thesis-postgresql-0,42,50
1777558256,dagster-thesis-webserver-749fbb6577-fvvnw,16,158
1777558256,dagster-thesis-workload-7b66f56b79-wkb4p,94,168
1777558260,dagster-thesis-daemon-6d4965785d-4q6wb,33,181
1777558260,dagster-thesis-postgresql-0,42,50
1777558260,dagster-thesis-webserver-749fbb6577-fvvnw,16,158
1777558260,dagster-thesis-workload-7b66f56b79-wkb4p,94,168
1777558263,dagster-thesis-daemon-6d4965785d-4q6wb,33,181
1777558263,dagster-thesis-postgresql-0,51,52
1777558263,dagster-thesis-webserver-749fbb6577-fvvnw,13,158
1777558263,dagster-thesis-workload-7b66f56b79-wkb4p,134,183
1777558266,dagster-thesis-daemon-6d4965785d-4q6wb,33,181
1777558266,dagster-thesis-postgresql-0,51,52
1777558266,dagster-thesis-webserver-749fbb6577-fvvnw,13,158
1777558266,dagster-thesis-workload-7b66f56b79-wkb4p,134,183
1777558270,dagster-thesis-daemon-6d4965785d-4q6wb,33,181
1777558270,dagster-thesis-postgresql-0,51,52
1777558270,dagster-thesis-webserver-749fbb6577-fvvnw,13,158
1777558270,dagster-thesis-workload-7b66f56b79-wkb4p,134,183
1777558274,dagster-thesis-daemon-6d4965785d-4q6wb,33,181
1777558274,dagster-thesis-postgresql-0,51,52
1777558274,dagster-thesis-webserver-749fbb6577-fvvnw,13,158
1777558274,dagster-thesis-workload-7b66f56b79-wkb4p,134,183
1777558278,dagster-run-6c483ddf-a65a-4f25-96d6-389bfdebf55a-gkn5b,904,183
1777558278,dagster-thesis-daemon-6d4965785d-4q6wb,69,181
1777558278,dagster-thesis-postgresql-0,96,52
1777558278,dagster-thesis-webserver-749fbb6577-fvvnw,27,157
1777558278,dagster-thesis-workload-7b66f56b79-wkb4p,119,169
1777558282,dagster-run-6c483ddf-a65a-4f25-96d6-389bfdebf55a-gkn5b,904,183
1777558282,dagster-thesis-daemon-6d4965785d-4q6wb,69,181
1777558282,dagster-thesis-postgresql-0,96,52
1777558282,dagster-thesis-webserver-749fbb6577-fvvnw,27,157
1777558282,dagster-thesis-workload-7b66f56b79-wkb4p,119,169
1777558286,dagster-run-6c483ddf-a65a-4f25-96d6-389bfdebf55a-gkn5b,904,183
1777558286,dagster-thesis-daemon-6d4965785d-4q6wb,69,181
1777558286,dagster-thesis-postgresql-0,96,52
1777558286,dagster-thesis-webserver-749fbb6577-fvvnw,27,157
1777558286,dagster-thesis-workload-7b66f56b79-wkb4p,119,169
1777558291,dagster-run-060f75a0-c02c-4731-9c25-326357ff8c0e-c84nl,919,169
1777558291,dagster-run-18d1e471-47de-4908-865b-c1777ee3739e-4b8zk,844,213
1777558291,dagster-run-6c483ddf-a65a-4f25-96d6-389bfdebf55a-gkn5b,832,223
